location,star,name,competitors,counts
北京,5,北京索菲特大酒店,"如家酒店(北京传媒大学西门店),北京华彬费尔蒙酒店,IU酒店(北京丽泽商务区七里庄地铁站店),全季酒店(北京八一电影制片厂店),汉庭酒店(北京良乡大学城店),桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店),格雅酒店(北京通州环球梨园店)","3,1,1,1,1,1,1,1"
北京,5,北京裕龙国际酒店,"北京石景山游乐园希尔顿欢朋酒店,北京和平里旅居酒店,如家酒店(北京传媒大学西门店)","2,1,1"
北京,3,喆啡酒店(北京大兴旧宫地铁站店),,
北京,3,桔子酒店(北京广安门店),"桔子水晶北京前门酒店,汉庭酒店(北京良乡大学城店),北京南站亚朵酒店,如家酒店(北京传媒大学西门店),秋果酒店(北京新国展首都机场店),7天连锁酒店(北京西站北广场店)","3,2,1,1,1,1"
北京,5,北京花间堂·后海酒店,"桔子酒店(北京三里屯太古里店),汉庭酒店(北京良乡大学城店),桔子水晶北京前门酒店,秋果S1918庭院式酒店(北京天安门店),桔子水晶北京安贞酒店,北京石景山游乐园希尔顿欢朋酒店,7天连锁酒店(北京西站北广场店)","5,3,2,2,1,1,1"
北京,3,如家睿柏·云酒店(北京南站洋桥店),汉庭酒店(北京良乡大学城店),1
北京,5,北京银保建国酒店,"7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店)","1,1"
北京,3,喆啡酒店(北京小红门地铁站店),,
北京,2,派酒店(北京牡丹园龙翔路北大第三医院店),"7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店),速8酒店(北京方庄地铁站店),如家酒店(北京传媒大学西门店),锦江之星(北京珠市口店)","1,1,1,1,1"
北京,5,北京汇园酒店公寓(贵宾楼),"全季酒店(北京八一电影制片厂店),北京南站亚朵酒店,如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),北京石景山游乐园希尔顿欢朋酒店","1,1,1,1,1"
北京,5,北京东方安颐国际酒店,,
北京,5,北京励骏酒店,"北京丽晶酒店,北京王府半岛酒店,北京石景山游乐园希尔顿欢朋酒店,秋果S1918庭院式酒店(北京天安门店),如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),锦江之星品尚(北京苹果园地铁站店),北京朝阳丽亭酒店,7天连锁酒店(北京西站北广场店),北京瑰丽酒店,北京泛太平洋酒店,秋果酒店(北京新国展首都机场店)","41,5,5,3,3,1,1,1,1,1,1,1"
北京,3,麗枫酒店(北京南站洋桥店),"秋果S1918庭院式酒店(北京天安门店),7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店),北京南站亚朵酒店,汉庭酒店(北京良乡大学城店)","3,2,2,1,1"
北京,3,北京瑞洁宾舍酒店,"希岸酒店(北京昌平地铁站鼓楼南大街店),锦江之星(北京珠市口店),如家酒店(北京传媒大学西门店)","2,1,1"
北京,2,如家酒店·neo(北京朝阳公园朝阳火车站店),"汉庭酒店(北京良乡大学城店),如家精选酒店(北京农展长虹桥店),格林豪泰智选酒店(北京八达岭长城康庄店),全季酒店(北京八一电影制片厂店),北京南站亚朵酒店,锦江之星(北京珠市口店)","3,2,1,1,1,1"
北京,4,秋果酒店(北京三元桥燕莎店),"北京南站亚朵酒店,北京石景山游乐园希尔顿欢朋酒店,全季酒店(北京八一电影制片厂店),和颐酒店(北京石景山万达广场店),7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店),速8酒店(北京方庄地铁站店),桔子酒店(北京三里屯太古里店),花筑·北京迈克之家四合院精品酒店,麗枫酒店(北京十八里店老君堂店)","7,4,4,3,2,2,1,1,1,1"
北京,5,北京乾元酒店,"全季酒店(北京八一电影制片厂店),北京和平里旅居酒店,北京石景山游乐园希尔顿欢朋酒店,北京瑰丽酒店","2,1,1,1"
北京,2,7天连锁酒店(北京上地西三旗桥西店),"桔子酒店(北京三里屯太古里店),格林豪泰(北京市首都机场第二店)","2,1"
