location,star,name,competitors,counts
北京,2,速8酒店(北京方庄地铁站店),"如家,海友,汉庭,海友酒店","2,2,1,1"
北京,4,北京实茂花园酒店,"总部基地,如家","4,1"
北京,2,北京巴比伦宾馆,"如家,汉庭","2,1"
北京,3,飘HOME连锁酒店(北京天安门前门大栅栏店),"如家,汉庭,喆啡,速8,喆啡酒店,宜必思,锦江之星","3,3,2,2,1,1,1"
北京,3,麗枫酒店(北京大兴新城地铁站店),,
北京,4,桔子水晶北京崇文门酒店,"桔子酒店,全季,喆啡,亚朵,贝尔特,希尔顿,秋果酒店,秋果","13,1,1,1,1,1,1,1"
北京,4,桔子水晶北京王府井大街酒店,"桔子酒店,希尔顿,全季酒店,全季,秋果,如家","12,2,1,1,1,1"
北京,3,桔子酒店(北京丽泽商务区天坛医院店),,
北京,2,汉庭酒店(北京花乡天坛医院新店),,
北京,3,富驿时尚酒店(北京亦庄创意生活广场店),"7天,汉庭,朗丽兹,如家,速8,城市便捷酒店,城市便捷","2,2,1,1,1,1,1"
北京,2,盒子空间(北京朝阳北路中传旗舰店),,
北京,5,北京海湾半山温泉酒店,"如家,7天,汉庭","3,1,1"
北京,2,云川3D电影酒店(北京鸟巢对外经贸店),"如家,希尔顿","1,1"
北京,5,北京长白山国际酒店,"如家,汉庭,希尔顿,桔子,城市便捷酒店,城市便捷","3,2,1,1,1,1"
北京,2,富润宾馆(牛街宣武医院店),如家,2
北京,4,秋果酒店(北京新国展首都机场三店),,
北京,4,麦语云栖度假别墅(北京古北店),,
北京,3,华商酒店(北京三元桥燕莎店),"如家,7天,喆啡,速8,汉庭,秋果酒店,秋果","4,2,1,1,1,1,1"
北京,3,时光漫步怀旧主题酒店(北京雍和宫南锣鼓巷后海店),"如家,汉庭,亚朵,如家酒店,安贞","6,4,1,1,1"
北京,4,北京君颐润华酒店,如家,1
北京,5,北京友谊宾馆贵宾楼,"汉庭,庭院式,派酒店","2,2,1"
北京,5,北京西苑饭店,"如家,汉庭,白玉兰,桔子水晶,桔子,麗枫,格林豪泰","4,3,1,1,1,1,1"
北京,5,北京赛特饭店,"如家,汉庭,和颐,华彬费尔蒙","3,1,1,1"
北京,5,北京唯实酒店(唯实国际文化交流中心),"7天,如家,和颐,汉庭,亚朵","1,1,1,1,1"
北京,4,时光赞歌花园酒店(北京大兴国际机场旺兴湖公园店),希尔顿,1
北京,2,如家酒店(北京东直门雍和宫簋街店),旅居,1
北京,4,秋果S酒店·1924(北京五棵松解放军总医院店),"秋果酒店,庭院式,全季酒店,全季,品尚,喆啡,如家","22,3,1,1,1,1,1"
北京,5,北京长城饭店,"如家,全季,亚朵,希尔顿,7天,王府半岛,秋果,汉庭,瑰丽,派酒店","6,4,3,3,3,1,1,1,1,1"
北京,5,北京璞邸酒店,"桔子水晶,桔子,如家,希尔顿","3,3,1,1"
北京,2,沁雅公寓(北京三里屯店),,
北京,2,北方朗悦酒店(北京青年湖店),"7天,汉庭","1,1"
北京,5,北京丽都皇冠假日酒店,"希尔顿,如家,和颐","1,1,1"
北京,3,途客中国酒店(北京杜家坎园博园店),"全季,汉庭,桔子","4,2,1"
北京,3,映向城酒店(北京南锣鼓巷雍和宫店),"希尔顿,速8","1,1"
北京,2,行舍酒店(北京护国寺平安里地铁站店),"汉庭,如家酒店,如家,7天","1,1,1,1"
北京,2,北京紫御湾酒店,,
北京,4,秋果酒店(北京中关村生命科学园店),全季,1
北京,3,维也纳智好酒店(北京国贸建国门地铁站店),,
北京,3,北京金鼎弘泰大酒店,"速8,全季,如家","1,1,1"
北京,2,格林豪泰(北京延庆高塔路万达广场店),"格林豪泰酒店,如家","2,1"
北京,5,北京唐拉雅秀酒店,"如家,希尔顿,木樨园,亚朵,全季,如家精选,桔子酒店,桔子,汉庭","4,2,1,1,1,1,1,1,1"
北京,2,7天连锁酒店(北京国家会议中心北沙滩地铁站店),"7天酒店,如家,派酒店","1,1,1"
北京,3,如家酒店neo(北京大红门地铁站店),如家商旅,1
北京,5,北京临空皇冠假日酒店,"希尔顿,7天,维也纳,如家,桔子水晶,桔子","2,2,1,1,1,1"
北京,2,7天连锁酒店(北京南站永定门外地铁站店),"7天酒店,如家,速8酒店,速8,优品","3,2,2,2,1"
北京,2,7天优品酒店(北京花园桥地铁站店),,
北京,3,北京泰悦豪庭酒店,Inn,1
北京,4,和颐酒店(北京前门店),"如家,智选假日,智选,锦江之星,维也纳,维也纳酒店,汉庭","6,1,1,1,1,1,1"
北京,5,北京海淀永泰福朋喜来登酒店,"汉庭酒店,汉庭,希尔顿","2,2,1"
北京,4,维纳斯皇家酒店(北京密云店),"维也纳,维也纳酒店,如家","6,3,1"
北京,3,桔子酒店(北京三元桥店),"如家,桔子水晶,汉庭,总部基地,如家精选,全季","7,4,3,2,1,1"
北京,5,北京东方美爵酒店,"汉庭,7天,秋果,锦江之星","2,1,1,1"
北京,2,城市便捷酒店(北京怀柔万达广场店),"速8,如家","1,1"
北京,2,速8酒店(北京国展西坝河店),,
北京,4,桔子水晶北京华贸中心青年之光酒店,"桔子水晶北京朝阳公园青年之光酒店,桔子水晶北京朝阳公园青年之光","1,1"
北京,4,北京子美酒店,"如家,汉庭,亚朵,喆啡,7天","8,2,1,1,1"
北京,2,北京乐游饭店,"汉庭,锦江之星","1,1"
北京,3,北京俊世酒店,,
北京,3,希岸酒店(北京昌平地铁站鼓楼南大街店),"麗枫,汉庭,锦江之星,亚朵","2,1,1,1"
北京,2,七日宾馆(北京工体东大桥地铁站店),,
北京,2,北京乐乎酒店(鼓楼大街地铁站店),速8,1
北京,3,宜必思酒店(北京昌平地铁站店),"如家,如家精选","3,2"
北京,4,康福瑞连锁酒店(北京学院南路店),"如家,汉庭,格雅,速8,海友,全季","3,1,1,1,1,1"
北京,2,新华苑宾馆(北京宣武门地铁站店),"速8,速8酒店","3,1"
北京,5,北京工大建国饭店,"如家,锦江之星,唐拉雅秀","1,1,1"
北京,5,北京丰大国际大酒店,希尔顿,1
北京,3,北京诚辉商务酒店,"7天,如家","1,1"
北京,5,北京国二招宾馆(东楼),"7天,亚朵,汉庭,全季,如家,派酒店,希尔顿","2,1,1,1,1,1,1"
北京,3,北京舒十度酒店,"总部基地,如家,汉庭,桔子水晶,桔子","3,2,1,1,1"
北京,2,皓阳宾馆(北京天安门广场店),"如家,速8,7天,IU","2,1,1,1"
北京,4,秋果酒店(北京天安门广场前门大栅栏店),"亚朵,全季酒店,全季,如家,漫心","2,1,1,1,1"
北京,2,99旅馆连锁(北京大红门石榴庄地铁站店),"7天连锁,7天","1,1"
北京,5,北京鹏润国际大酒店,"如家,桔子水晶,桔子,汉庭,希尔顿","1,1,1,1,1"
北京,3,希岸·轻雅酒店(北京俸伯地铁站店),格林豪泰,2
北京,5,北京朗丽兹西山花园酒店,"朗丽兹酒店,和颐","14,1"
北京,5,北京金茂怡生园酒店,"贝尔特,希尔顿,瑰丽,速8","1,1,1,1"
北京,3,东方圣达文化酒店(北京天安门王府井店),"如家,和颐至尚,和颐,汉庭,7天,全季酒店,全季","6,1,1,1,1,1,1"
北京,3,瑞兆酒店(北京国贸店),"如家,7天,希尔顿","5,2,1"
北京,4,秋果S酒店(北京首都机场二店),"秋果酒店,桔子酒店,桔子,如家,7天,希尔顿,全季,7天优品酒店,7天优品,优品,美豪,旅居","22,2,2,2,2,2,1,1,1,1,1,1"
北京,2,如家酒店(北京国贸双井地铁站店),"汉庭,全季,速8","8,1,1"
北京,4,桔子水晶北京西站南广场酒店,"桔子酒店,汉庭","7,1"
北京,2,7天优品酒店(北京西单灵境胡同地铁站店),"如家,维也纳,7天酒店,如家酒店","3,1,1,1"
北京,2,北京国帅宾馆,,
北京,3,和颐至尚酒店(北京三里屯使馆区店),"和颐酒店,如家,汉庭,7天,汉庭酒店,锦江之星,全季,桔子酒店,桔子","5,3,2,1,1,1,1,1,1"
北京,4,和颐酒店(北京天坛店),"如家,速8,如家精选,7天,如家酒店","14,2,1,1,1"
北京,5,北京饭店,"如家,希尔顿,7天,漫心,维也纳,北京饭店诺金,饭店诺金,全季,IU,格雅,如家酒店,汉庭","3,2,1,1,1,1,1,1,1,1,1,1"
北京,3,波菲特怀旧主题酒店(北京南锣鼓巷店),锦江之星,1
北京,5,北京伯豪瑞廷酒店,"秋果,亚朵,汉庭","1,1,1"
北京,2,如家华驿酒店(北京蓟门桥首体店),,
北京,4,北京外国专家大厦,"汉庭,全季,和颐,如家,桔子酒店,桔子,维也纳,维也纳酒店","2,1,1,1,1,1,1,1"
北京,2,阳光之佳别墅(北京古北店),,
北京,3,北京陶然花园酒店,"如家,7天,汉庭","1,1,1"
北京,4,北京金龙建国温泉酒店,7天,1
北京,3,北京蜜糖时光酒店,"时光漫步怀旧主题酒店,时光漫步怀旧主题,秋果","2,2,1"
北京,3,云川酒店(北京国贸店),"7天,7天酒店,如家,希岸,瑰丽","8,3,2,1,1"
北京,5,北京通州北投希尔顿酒店,"品尚,瑰丽","1,1"
北京,3,北京都季商旅酒店,"汉庭,如家,7天连锁,7天","2,1,1,1"
北京,2,北京十月酒店,如家,1
北京,4,北京天通苑立水桥地铁站轻居酒店,"亚朵,如家,麗枫,桔子","12,1,1,1"
北京,3,希岸酒店(北京大兴国际机场一店),锦江之星,1
北京,3,北京凤凰台饭店,"希尔顿,如家,7天,京伦饭店,城市便捷,宜必思,汉庭,希尔顿欢朋,欢朋","6,3,2,1,1,1,1,1,1"
北京,3,华驿精选酒店(北京新国展首都机场店),"秋果,秋果酒店,如家,7天,格林豪泰,旅居,全季,如家精选","55,20,4,2,2,1,1,1"
北京,3,山水时尚酒店(北京南站天坛南门店),"如家,亚朵,全季酒店,全季,锦江之星,桔子,海友,旅居","3,2,1,1,1,1,1,1"
北京,4,未名四合院(北京南锣店),"布丁酒店,如家,7天","3,1,1"
北京,2,O2轻奢酒店(北京立水桥地铁站店),"汉庭,桔子水晶,桔子,如家","2,1,1,1"
北京,2,如家酒店(北京西客站北广场店),"汉庭,丽泽,维也纳,汉庭酒店","4,1,1,1"
北京,5,金茂北京威斯汀大饭店,"希尔顿,如家,汉庭,瑰丽,锦江之星,全季,7天,Inn","2,2,2,2,1,1,1,1"
北京,5,北京朝林松源酒店,"瑰丽,希尔顿","2,1"
北京,2,欣燕都连锁酒店(北京前门天街店),"海友酒店,海友,如家,7天,城市便捷酒店,城市便捷","1,1,1,1,1,1"
北京,2,速8酒店(北京刘家窑地铁站店),7天,1
北京,2,北京首都机场精选酒店,"如家,7天,汉庭","3,1,1"
北京,5,北京远通维景国际大酒店,"丽晶,希尔顿,桔子,7天,唐拉雅秀","1,1,1,1,1"
北京,3,如家精选酒店(北京东四店),"如家酒店,如家商旅,泛太平洋,和颐酒店,和颐","5,1,1,1,1"
北京,2,IU酒店(北京站地铁站店),"如家,7天,宝辰饭店,汉庭","1,1,1,1"
北京,5,北京维景国际大酒店,"全季,如家,全季酒店,汉庭,瑰丽,智选,7天,亚朵","2,2,1,1,1,1,1,1"
北京,5,北京泰富酒店,"希尔顿,丽晶,智选,瑰丽","3,2,1,1"
北京,2,如家酒店(北京燕莎新源里店),速8,1
北京,5,北京世纪金源香山商旅酒店,"如家,和颐,旅居,亚朵,庭院式,汉庭","3,2,1,1,1,1"
北京,2,格林豪泰(北京首都机场T3馨港店),格林豪泰酒店,1
北京,3,飘HOME连锁酒店(北京华贸店),,
北京,5,北京泰康商学院,速8,1
北京,5,北京京都信苑饭店,"如家,7天,希尔顿","2,1,1"
北京,5,北京名人国际大酒店,"7天,汉庭,如家,安贞","1,1,1,1"
北京,3,北京卓尚酒店,如家,1
北京,4,和颐酒店(北京石景山万达广场店),"如家,如家酒店,美豪酒店,美豪,汉庭,秋果","7,1,1,1,1,1"
北京,4,行舍酒店(前门天坛店),,
北京,5,北京行宫国际酒店,汉庭,1
