名称	入住日期	出行目的	评分	评论文本	shortTexts	score	shortTexts-negative	score-negative
北京首都机场精选酒店	2019/8/22	其他	4	哇，这个酒店真的是，感觉就是小旅馆的标准，整体给我的感觉就是能省则省，不符合酒店的规格，有点对不起这个价格。就酒店本身而言，我只能给三星。不过工作人员态度特别好，免费接机，速度很快，服务态度也没话说，这一点可以给五星。所以综合下来，差不多4星吧！	"['这个酒店真的是', '不符合酒店的规格', '这一点可以给五星', '我只能给三星', '整体给我的感觉就是能省则省', '有点对不起这个价格', '就酒店本身而言', '差不多4星吧', '感觉就是小旅馆的标准', '速度很快', '所以综合下来', '不过工作人员态度特别好', '服务态度也没话说', '免费接机']"	"[0.505977, 0.951426, 0.000368829, 0.998946, 0.561112, 0.998884, 0.492813, 0.0865999, 0.971226, 0.000575719, 0.0826782, 0.137524, 0.0157865, 0.00605995]"	"['这个酒店真的是', '不符合酒店的规格', '我只能给三星', '整体给我的感觉就是能省则省', '有点对不起这个价格', '感觉就是小旅馆的标准']"	"[0.505977, 0.951426, 0.998946, 0.561112, 0.998884, 0.971226]"
北京首都机场精选酒店	2020/3/9	其他	2	嗯，可能是因为大北京的原因吧，贵又不太好！哈哈哈，，，	"['贵又不太好', '哈哈哈', '可能是因为大北京的原因吧']"	"[0.998516, 0.000516395, 0.450109]"	['贵又不太好']	[0.998516]
北京首都机场精选酒店	2019/6/30	其他	4	距离机场很近，有接送机服务，最重要是不吵，一点都不吵，房间就是正常那种，适合转机什么的睡一宿。这个价格也可以。总体可以打4分	"['一点都不吵', '最重要是不吵', '这个价格也可以', '总体可以打4分', '距离机场很近', '有接送机服务', '适合转机什么的睡一宿', '房间就是正常那种']"	"[0.0531665, 0.0389405, 0.0112884, 0.00244717, 0.00112104, 0.0420397, 0.00245028, 0.139365]"	[]	[]
北京首都机场精选酒店	2020/2/29	其他	4	不错位置方便离机场近周边吃的也多	['不错位置方便离机场近周边吃的也多']	[0.00148641]	[]	[]
北京首都机场精选酒店	2019/8/18	其他	4	就是隔音有点差，隔壁刚好讲话声音又比较大，难受，除此之外，其他都超赞。	"['难受', '就是隔音有点差', '除此之外', '其他都超赞', '隔壁刚好讲话声音又比较大']"	"[0.998366, 0.998724, 0.051768, 5.06175e-05, 0.889112]"	"['难受', '就是隔音有点差', '隔壁刚好讲话声音又比较大']"	"[0.998366, 0.998724, 0.889112]"
北京首都机场精选酒店	2019/8/11	其他	2	离机场太近了，休息不好，飞机起降声音太大了	"['离机场太近了', '飞机起降声音太大了', '休息不好']"	"[0.132365, 0.99792, 0.987658]"	"['飞机起降声音太大了', '休息不好']"	"[0.99792, 0.987658]"
北京首都机场精选酒店	2019/8/10	其他	4	房间比较大，很干净，不错不错	"['很干净', '房间比较大', '不错不错']"	"[0.000223777, 0.0415709, 0.00149871]"	[]	[]
北京首都机场精选酒店	2020/2/26	其他	3	用户已中评	['用户已中评']	[0.880992]	['用户已中评']	[0.880992]
北京首都机场精选酒店	2019/10/25	其他	3	太吵了，不是很干净。	"['太吵了', '不是很干净']"	"[0.999415, 0.999008]"	"['太吵了', '不是很干净']"	"[0.999415, 0.999008]"
北京首都机场精选酒店	2020/2/14	其他	1	用户已差评	['用户已差评']	[0.999973]	['用户已差评']	[0.999973]
北京首都机场精选酒店	2019/8/10	其他	4	很干净也比较大，还不错	"['很干净也比较大', '还不错']"	"[0.000852358, 0.00735177]"	[]	[]
北京首都机场精选酒店	2019/11/9	其他	4	隔音是真的差	['隔音是真的差']	[0.99951]	['隔音是真的差']	[0.99951]
北京首都机场精选酒店	2019/2/26	其他	4	很方便接送去机场下次有机会还来	['很方便接送去机场下次有机会还来']	[0.000127256]	[]	[]
北京首都机场精选酒店	2019/6/17	其他	3	入住和描述有出入	['入住和描述有出入']	[0.587526]	['入住和描述有出入']	[0.587526]
北京首都机场精选酒店	2018/12/25	其他	3	总体来说还可以吧	['总体来说还可以吧']	[0.0295478]	[]	[]
名称	入住日期	出行目的	评分	评论文本	shortTexts	score	shortTexts-negative	score-negative
北京十月酒店	2021/3/1	独自旅行	4.2	位置在马家堡地铁站附近，比较方便。面积不大，干净整洁，床睡着很舒适，隔音效果较好。房间里还配备了空气净化器，整体感觉很好，性价比较高，值得推荐！	"['比较方便', '性价比较高', '干净整洁', '整体感觉很好', '隔音效果较好', '面积不大', '值得推荐', '床睡着很舒适', '房间里还配备了空气净化器', '位置在马家堡地铁站附近']"	"[0.0219039, 0.000286219, 0.000467698, 0.000282313, 0.000645651, 0.961812, 0.000139594, 0.00138383, 0.112165, 0.0441231]"	['面积不大']	[0.961812]
北京十月酒店	2021/7/1	情侣出游	4.5	位置很方便，就在马家堡地铁站附近，紧临四号线。房间内部干净整洁，装修也比较新，各项设施比较方便。暑假旺季去北京，虽然距离有些景点比较远，但综合来看性价比不错。不提供早餐，不能加床，没有停车场	"['各项设施比较方便', '装修也比较新', '不能加床', '位置很方便', '不提供早餐', '虽然距离有些景点比较远', '但综合来看性价比不错', '没有停车场', '紧临四号线', '暑假旺季去北京', '房间内部干净整洁', '就在马家堡地铁站附近']"	"[0.031209, 0.065771, 0.995593, 0.0032754, 0.933649, 0.0217997, 0.0021446, 0.520524, 0.0290181, 0.00378252, 0.00500943, 0.445296]"	"['不能加床', '不提供早餐', '没有停车场']"	"[0.995593, 0.933649, 0.520524]"
北京十月酒店	2021/7/1	家庭亲子	3.7	服务满分态度很好很贴心，卫生也行，地段离地铁步行100米很好。就是硬件真的不敢恭维：入户就是一根巨大柱子竖在双床房之间。洗手台盆设计失误边缘与水龙头水柱距离过近，一洗手洗衣服水全部流到台面上地上，几乎没台盆似的。地上用毛巾挡住都湿漉漉的，心情很不好。	"['心情很不好', '一洗手洗衣服水全部流到台面上地上', '服务满分态度很好很贴心', '地段离地铁步行100米很好', '几乎没台盆似的', '就是硬件真的不敢恭维', '卫生也行', '洗手台盆设计失误边缘与水龙头水柱距离过近', '地上用毛巾挡住都湿漉漉的', '入户就是一根巨大柱子竖在双床房之间']"	"[0.997057, 0.0748887, 0.000379217, 0.00173612, 0.986078, 0.974237, 0.475841, 0.36511, 0.988793, 0.331432]"	"['心情很不好', '几乎没台盆似的', '就是硬件真的不敢恭维', '地上用毛巾挡住都湿漉漉的']"	"[0.997057, 0.986078, 0.974237, 0.988793]"
北京十月酒店	2021/5/1	商务出差	4.5	房间干净，没有味道，性价比高，来这边办事还会选择这家酒店。一点不足：前台服务一般，应对客户的提问喜欢用否定+抬杠+非友好的语气来回应，前台应该是没有接受过这类的培训。原本想打全五满分，但是为了能让酒店提升综合水平，还是实事求是的评价吧。	"['前台应该是没有接受过这类的培训', '还是实事求是的评价吧', '没有味道', '前台服务一般', '一点不足', '性价比高', '来这边办事还会选择这家酒店', '房间干净', '但是为了能让酒店提升综合水平', '原本想打全五满分', '应对客户的提问喜欢用否定+抬杠+非友好的语气来回应']"	"[0.939903, 0.999406, 0.977536, 0.853341, 0.992732, 0.000115398, 6.73765e-05, 0.0018284, 0.529546, 0.153308, 0.920818]"	"['前台应该是没有接受过这类的培训', '还是实事求是的评价吧', '没有味道', '前台服务一般', '一点不足', '但是为了能让酒店提升综合水平', '应对客户的提问喜欢用否定+抬杠+非友好的语气来回应']"	"[0.939903, 0.999406, 0.977536, 0.853341, 0.992732, 0.529546, 0.920818]"
